#=============================================================================#
         rgb_bitdist|   1|    100000|     100|0.20220877|  PASSED
# The file file_input_raw was rewound 42 times
         rgb_bitdist|   2|    100000|     100|0.01643519|  PASSED
# The file file_input_raw was rewound 43 times
         rgb_bitdist|   3|    100000|     100|0.28226685|  PASSED
# The file file_input_raw was rewound 44 times
         rgb_bitdist|   4|    100000|     100|0.44767158|  PASSED
# The file file_input_raw was rewound 45 times
         rgb_bitdist|   5|    100000|     100|0.98997316|  PASSED
# The file file_input_raw was rewound 47 times
         rgb_bitdist|   6|    100000|     100|0.30270538|  PASSED
# The file file_input_raw was rewound 48 times
         rgb_bitdist|   7|    100000|     100|0.94666918|  PASSED
# The file file_input_raw was rewound 50 times
         rgb_bitdist|   8|    100000|     100|0.80739892|  PASSED
# The file file_input_raw was rewound 53 times
         rgb_bitdist|   9|    100000|     100|0.07747418|  PASSED
